t_s,cmd_hz,meas_hz,meas_a
0.0007,600.000,592.90,4.80
0.1022,900.000,592.90,4.80
0.2076,900.000,592.90,4.90
0.3060,900.000,592.90,4.90
0.4061,900.000,592.90,4.90
0.5058,900.000,610.60,6.10
0.6023,900.000,610.60,6.10
0.7074,900.000,693.20,8.40
0.8061,900.000,693.20,8.40
0.9059,900.000,693.20,8.40
1.0045,900.000,769.90,9.40
1.1061,900.000,769.90,9.40
1.2050,900.000,861.40,8.50
1.3060,900.000,861.40,8.50
1.4046,900.000,861.40,8.50
1.5060,900.000,885.00,7.60
1.6060,900.000,885.00,7.60
1.7072,900.000,893.80,7.00
1.8057,900.000,893.80,7.00
1.9026,900.000,893.80,7.00
2.0058,900.000,893.80,6.90
2.1061,900.000,893.80,6.90
2.2024,900.000,893.80,6.80
2.3015,900.000,893.80,6.80
2.4076,900.000,893.80,6.80
2.5061,900.000,893.80,6.80
2.6053,900.000,893.80,6.80
2.7075,900.000,890.90,6.70
2.8019,900.000,890.90,6.70
2.9060,900.000,890.90,6.70
3.0029,900.000,890.90,6.70
3.1058,900.000,890.90,6.70
3.2031,900.000,890.90,6.60
3.3024,900.000,890.90,6.60
3.4048,900.000,890.90,6.70
3.5060,900.000,890.90,6.70
3.6063,900.000,890.90,6.70
3.7055,900.000,890.90,6.70
3.8058,900.000,890.90,6.70
3.9075,900.000,890.90,6.70
4.0057,900.000,890.90,6.70
4.1009,900.000,890.90,6.70
4.2079,900.000,890.90,6.60
4.3060,900.000,890.90,6.60
4.4052,900.000,890.90,6.60
4.5059,900.000,890.90,6.60
4.6060,900.000,890.90,6.60
4.7072,900.000,890.90,6.60
4.8058,900.000,890.90,6.60
4.9060,900.000,890.90,6.60
5.0027,900.000,890.90,6.60
5.1040,900.000,890.90,6.60
5.2056,900.000,893.80,6.60
5.3053,900.000,893.80,6.60
5.4047,900.000,893.80,6.60
5.5058,900.000,893.80,6.60
5.6060,900.000,893.80,6.60
5.7033,900.000,893.80,6.60
5.8049,900.000,893.80,6.60
5.9077,900.000,893.80,6.60
6.0053,900.000,893.80,6.60
6.1020,900.000,893.80,6.60
6.2061,900.000,893.80,6.60
6.3030,900.000,893.80,6.60
6.4015,900.000,893.80,6.60
6.5076,900.000,893.80,6.70
6.6058,900.000,893.80,6.70
6.7060,900.000,893.80,6.70
6.8081,900.000,893.80,6.70
6.9062,900.000,893.80,6.70
7.0060,900.000,893.80,6.70
7.1059,900.000,893.80,6.60
7.2019,900.000,893.80,6.60
7.3075,900.000,893.80,6.60
7.4045,900.000,893.80,6.60
7.5061,900.000,893.80,6.60
7.6059,900.000,893.80,6.60
7.7061,900.000,893.80,6.60
7.8073,900.000,893.80,6.70
7.9061,900.000,893.80,6.70
8.0051,900.000,893.80,6.70
8.1059,900.000,893.80,6.70
8.2061,900.000,893.80,6.70
8.3078,900.000,893.80,6.60
8.4019,900.000,893.80,6.60
8.5059,900.000,893.80,6.60
8.6061,900.000,893.80,6.70
8.7061,900.000,893.80,6.70
8.8074,900.000,893.80,6.70
8.9060,900.000,893.80,6.70
9.0059,900.000,893.80,6.70
9.1057,900.000,893.80,6.70
9.2061,900.000,893.80,6.70
9.3035,900.000,893.80,6.70
9.4060,900.000,893.80,6.70
9.5012,900.000,893.80,6.70
9.6058,900.000,893.80,6.70
9.7060,900.000,893.80,6.70
9.8070,900.000,893.80,6.60
9.9057,900.000,893.80,6.60
10.0035,900.000,893.80,6.60
10.1056,900.000,893.80,6.70
10.2061,900.000,893.80,6.70
10.3027,900.000,893.80,6.70
10.4062,900.000,893.80,6.70
10.5075,900.000,893.80,6.70
10.6058,900.000,893.80,6.70
10.7059,900.000,893.80,6.70
10.8075,900.000,893.80,6.60
10.9061,900.000,893.80,6.60
11.0060,900.000,893.80,6.60
11.1055,900.000,893.80,6.60
11.2058,900.000,893.80,6.60
11.3079,900.000,893.80,6.70
11.4044,900.000,893.80,6.70
11.5062,900.000,893.80,6.70
11.6031,900.000,893.80,6.70
11.7060,900.000,893.80,6.70
11.8035,900.000,893.80,6.70
11.9076,900.000,893.80,6.70
12.0025,900.000,893.80,6.70
12.1042,900.000,893.80,6.70
12.2026,900.000,893.80,6.60
12.3030,900.000,893.80,6.60
12.4037,900.000,893.80,6.60
12.5054,900.000,893.80,6.60
12.6031,900.000,893.80,6.60
12.7043,900.000,893.80,6.70
12.8031,900.000,893.80,6.70
12.9077,900.000,893.80,6.60
13.0060,900.000,893.80,6.60
13.1008,900.000,893.80,6.60
13.2061,900.000,893.80,6.60
13.3061,900.000,893.80,6.60
13.4073,900.000,893.80,6.60
13.5016,900.000,893.80,6.60
13.6032,900.000,893.80,6.60
13.7061,900.000,893.80,6.60
13.8055,900.000,893.80,6.60
13.9047,900.000,893.80,6.70
14.0026,900.000,893.80,6.70
14.1076,900.000,893.80,6.70
14.2043,900.000,893.80,6.70
14.3044,900.000,893.80,6.70
14.4067,900.000,893.80,6.70
14.5054,900.000,893.80,6.70
14.6062,900.000,893.80,6.70
14.7031,900.000,893.80,6.70
14.8028,900.000,893.80,6.70
14.9041,900.000,893.80,6.70
15.0048,900.000,893.80,6.70
15.1075,900.000,893.80,6.70
15.2061,900.000,893.80,6.70
15.3055,900.000,893.80,6.70
15.4062,900.000,893.80,6.70
15.5061,900.000,893.80,6.70
15.6023,900.000,893.80,6.70
15.7044,900.000,893.80,6.70
15.8025,900.000,893.80,6.70
15.9063,900.000,893.80,6.60
16.0049,900.000,893.80,6.60
16.1017,900.000,893.80,6.60
16.2028,900.000,893.80,6.70
16.3056,900.000,893.80,6.70
16.4068,900.000,893.80,6.70
16.5057,900.000,893.80,6.70
16.6056,900.000,893.80,6.70
16.7058,900.000,893.80,6.70
16.8026,900.000,893.80,6.70
16.9074,900.000,893.80,6.70
17.0061,900.000,893.80,6.70
17.1058,900.000,893.80,6.70
17.2058,900.000,893.80,6.60
17.3033,900.000,893.80,6.60
17.4057,900.000,893.80,6.70
17.5026,900.000,893.80,6.70
17.6015,900.000,893.80,6.70
17.7057,900.000,893.80,6.70
17.8059,900.000,893.80,6.70
17.9032,900.000,893.80,6.70
18.0056,900.000,893.80,6.70
18.1070,900.000,893.80,6.70
18.2058,900.000,893.80,6.70
18.3061,900.000,893.80,6.70
18.4075,900.000,893.80,6.60
18.5058,900.000,893.80,6.60
18.6061,900.000,893.80,6.60
18.7054,900.000,893.80,6.60
18.8060,900.000,893.80,6.60
18.9075,900.000,893.80,6.70
19.0061,900.000,893.80,6.70
19.1057,900.000,893.80,6.70
19.2054,900.000,893.80,6.70
19.3058,900.000,893.80,6.70
19.4071,900.000,893.80,6.70
19.5017,900.000,893.80,6.70
19.6014,900.000,893.80,6.70
19.7043,900.000,893.80,6.60
19.8060,900.000,893.80,6.60
19.9045,900.000,893.80,6.60
20.0021,900.000,893.80,6.60
20.1055,900.000,893.80,6.60
20.2071,900.000,893.80,6.60
20.3031,900.000,893.80,6.60
20.4057,900.000,893.80,6.60
20.5074,900.000,893.80,6.60
20.6014,900.000,893.80,6.60
20.7057,900.000,893.80,6.60
20.8059,900.000,893.80,6.60
20.9021,900.000,893.80,6.60
21.0072,900.000,893.80,6.70
21.1032,900.000,893.80,6.70
21.2058,900.000,893.80,6.70
21.3057,900.000,893.80,6.70
21.4036,900.000,893.80,6.70
21.5067,900.000,893.80,6.70
21.6017,900.000,893.80,6.70
21.7049,900.000,893.80,6.70
21.8029,900.000,893.80,6.70
21.9056,900.000,893.80,6.70
22.0069,900.000,893.80,6.70
22.1035,900.000,893.80,6.70
22.2060,900.000,893.80,6.70
22.3057,900.000,893.80,6.60
22.4061,900.000,893.80,6.60
22.5073,900.000,893.80,6.70
22.6078,900.000,893.80,6.70
22.7057,900.000,893.80,6.70
22.8057,900.000,893.80,6.70
22.9058,900.000,893.80,6.70
23.0073,900.000,893.80,6.70
23.1058,900.000,893.80,6.70
23.2061,900.000,893.80,6.70
23.3028,900.000,893.80,6.70
23.4062,900.000,893.80,6.70
23.5031,900.000,893.80,6.60
23.6057,900.000,893.80,6.60
23.7064,900.000,893.80,6.70
23.8059,900.000,893.80,6.70
23.9009,900.000,893.80,6.70
24.0073,900.000,893.80,6.70
24.1035,900.000,893.80,6.70
24.2060,900.000,893.80,6.70
24.3062,900.000,893.80,6.70
24.4012,900.000,893.80,6.70
24.5050,900.000,893.80,6.60
24.6061,900.000,893.80,6.60
24.7015,900.000,893.80,6.60
24.8059,900.000,893.80,6.60
24.9029,900.000,893.80,6.60
25.0074,900.000,893.80,6.70
25.1018,900.000,893.80,6.70
25.2061,900.000,893.80,6.70
