t_s,cmd_hz,meas_hz,meas_a,v_meas
0.0256,20.000,20.00,5.00,
0.0773,20.000,20.00,5.00,
0.1296,20.000,20.00,4.80,
0.1772,20.000,20.00,4.80,
0.2276,20.000,19.00,4.70,
0.2771,20.000,19.00,4.70,
0.3296,20.000,19.00,4.90,
0.3772,20.000,19.00,4.90,
0.4277,20.000,20.00,5.00,
0.4772,20.000,20.00,5.00,
0.5277,20.000,20.00,5.00,
0.5772,20.000,20.00,5.00,
0.6276,20.000,20.00,4.80,
0.6771,20.000,20.00,4.80,
0.7296,20.000,20.00,4.60,
0.7771,20.000,20.00,4.60,
0.8316,20.000,20.00,4.80,
0.8770,20.000,20.00,4.80,
0.9295,20.000,20.00,5.00,
0.9773,20.000,20.00,5.00,
1.0277,20.000,20.00,4.90,
1.0772,20.000,20.00,4.90,
1.1276,20.000,20.00,4.80,
1.1773,20.000,20.00,4.80,
1.2297,20.000,19.00,4.70,
1.2772,20.000,19.00,4.70,
1.3276,20.000,19.00,4.70,
1.3772,20.000,19.00,4.70,
1.4296,20.000,20.00,4.90,
1.4772,20.000,20.00,4.90,
1.5297,20.000,20.00,5.00,
1.5773,20.000,20.00,5.00,
1.6317,20.000,20.00,5.00,
1.6774,20.000,20.00,5.00,
1.7297,20.000,20.00,4.80,
1.7774,20.000,20.00,4.80,
1.8278,20.000,19.00,4.80,
1.8773,20.000,19.00,4.80,
1.9299,20.000,21.00,5.10,
1.9781,20.000,21.00,5.10,
2.0256,20.000,20.00,4.90,
2.0772,20.000,20.00,4.90,
2.1297,20.000,20.00,4.80,
2.1774,20.000,20.00,4.80,
2.2285,20.000,20.00,4.70,
2.2774,20.000,20.00,4.70,
2.3277,20.000,19.00,4.70,
2.3787,20.000,19.00,4.70,
2.4299,20.000,21.00,5.00,
2.4775,20.000,21.00,5.00,
2.5279,20.000,20.00,5.00,
2.5776,20.000,20.00,5.00,
2.6299,20.000,19.00,4.90,
2.6777,20.000,19.00,4.90,
2.7301,20.000,20.00,4.80,
2.7774,20.000,20.00,4.80,
2.8280,20.000,19.00,4.70,
2.8777,20.000,19.00,4.70,
2.9300,20.000,19.00,4.90,
2.9784,20.000,19.00,4.90,
3.0299,20.000,20.00,5.00,
3.0773,20.000,20.00,5.00,
3.1298,20.000,20.00,5.00,
