t_s,cmd_hz,meas_hz,meas_a,v_meas
0.0255,750.000,750.00,5.60,
0.0852,750.000,750.00,5.60,
0.1397,750.000,750.00,5.60,
0.1531,750.000,750.00,5.60,
0.2300,750.000,750.00,5.60,
0.2532,750.000,750.00,5.60,
0.3314,750.000,750.00,5.50,
0.3550,750.000,750.00,5.50,
0.4356,750.000,750.00,5.60,
0.4528,750.000,750.00,5.60,
0.5297,750.000,750.00,5.60,
0.5509,750.000,750.00,5.60,
0.6315,750.000,750.00,5.60,
0.6508,750.000,750.00,5.60,
0.7356,750.000,750.00,5.60,
0.7528,750.000,750.00,5.60,
0.8295,750.000,750.00,5.60,
0.8853,750.000,750.00,5.60,
0.9296,750.000,750.00,5.60,
0.9851,750.000,750.00,5.60,
1.0335,750.000,750.00,5.60,
1.0545,750.000,750.00,5.60,
1.1295,750.000,750.00,5.60,
1.1850,750.000,750.00,5.60,
1.2294,750.000,750.00,5.60,
1.2537,750.000,750.00,5.60,
1.3354,750.000,750.00,5.60,
1.3541,750.000,750.00,5.60,
1.4315,750.000,750.00,5.60,
1.4551,750.000,750.00,5.60,
1.5295,750.000,750.00,5.60,
1.5852,750.000,750.00,5.60,
1.6380,750.000,750.00,5.60,
1.6520,750.000,750.00,5.60,
1.7278,750.000,750.00,5.60,
1.7532,750.000,750.00,5.60,
1.8275,750.000,750.00,5.60,
1.8851,750.000,750.00,5.60,
1.9375,750.000,750.00,5.60,
1.9536,750.000,750.00,5.60,
2.0297,750.000,750.00,5.60,
2.0550,750.000,750.00,5.60,
2.1276,750.000,750.00,5.60,
2.1851,750.000,750.00,5.60,
2.2356,750.000,750.00,5.60,
2.2541,750.000,750.00,5.60,
2.3275,750.000,750.00,5.60,
2.3851,750.000,750.00,5.60,
2.4276,750.000,750.00,5.60,
2.4520,750.000,750.00,5.60,
2.5357,750.000,750.00,5.60,
2.5542,750.000,750.00,5.60,
2.6316,750.000,750.00,5.60,
2.6550,750.000,750.00,5.60,
2.7317,750.000,750.00,5.60,
2.7551,750.000,750.00,5.60,
2.8356,750.000,750.00,5.60,
2.8526,750.000,750.00,5.60,
2.9297,750.000,750.00,5.60,
2.9852,750.000,750.00,5.60,
3.0297,750.000,750.00,5.60,
3.0536,750.000,750.00,5.60,
3.1377,750.000,750.00,5.60,
3.1535,750.000,750.00,5.60,
3.2296,750.000,750.00,5.60,
3.2853,750.000,750.00,5.60,
3.3277,750.000,750.00,5.60,
3.3527,750.000,750.00,5.60,
3.4376,750.000,750.00,5.60,
3.4535,750.000,750.00,5.60,
3.5297,750.000,750.00,5.60,
3.5518,750.000,750.00,5.60,
3.6298,750.000,750.00,5.60,
3.6854,750.000,750.00,5.60,
3.7397,750.000,750.00,5.60,
3.7531,750.000,750.00,5.60,
3.8299,750.000,750.00,5.60,
3.8854,750.000,750.00,5.60,
3.9318,750.000,750.00,5.60,
3.9551,750.000,750.00,5.60,
4.0360,750.000,750.00,5.60,
4.0551,750.000,750.00,5.60,
4.1278,750.000,750.00,5.60,
4.1856,750.000,750.00,5.60,
4.2360,750.000,750.00,5.60,
4.2543,750.000,750.00,5.60,
4.3336,750.000,750.00,5.60,
4.3545,750.000,750.00,5.60,
4.4297,750.000,750.00,5.60,
4.4853,750.000,750.00,5.60,
4.5297,750.000,750.00,5.60,
4.5853,750.000,750.00,5.60,
4.6361,750.000,750.00,5.60,
4.6540,750.000,750.00,5.60,
4.7338,750.000,750.00,5.60,
4.7547,750.000,750.00,5.60,
4.8330,750.000,750.00,5.60,
4.8542,750.000,750.00,5.60,
4.9358,750.000,750.00,5.60,
4.9529,750.000,750.00,5.60,
5.0319,750.000,750.00,5.60,
5.0530,749.952,750.00,5.60,
5.1299,749.813,750.00,5.60,
5.1855,749.586,750.00,5.60,
5.2419,749.279,750.00,5.60,
5.2524,748.896,750.00,5.60,
5.3298,748.444,750.00,5.60,
5.3855,747.931,750.00,5.60,
5.4279,747.361,750.00,5.60,
5.4853,746.742,750.00,5.60,
5.5376,746.081,749.00,5.50,
5.5535,745.384,749.00,5.50,
5.6298,744.658,749.00,5.50,
5.6855,743.910,749.00,5.50,
5.7298,743.144,748.00,5.50,
5.7855,742.367,748.00,5.50,
5.8358,741.584,747.00,5.50,
5.8509,740.801,747.00,5.50,
5.9299,740.020,746.00,5.40,
5.9517,739.247,746.00,5.40,
6.0278,738.485,744.00,5.40,
6.0514,737.735,744.00,5.40,
6.1358,737.000,742.00,5.40,
6.1521,736.282,742.00,5.40,
6.2318,735.580,741.00,5.40,
6.2551,734.896,741.00,5.40,
6.3297,734.228,739.00,5.40,
6.3527,733.575,739.00,5.40,
6.4358,732.935,738.00,5.40,
6.4540,732.305,738.00,5.40,
6.5277,731.682,736.00,5.40,
6.5853,731.062,736.00,5.40,
6.6298,730.442,735.00,5.40,
6.6856,729.815,735.00,5.40,
6.7378,729.177,734.00,5.40,
6.7535,728.522,734.00,5.40,
6.8299,727.844,733.00,5.40,
6.8856,727.138,733.00,5.40,
6.9299,726.396,731.00,5.40,
6.9529,725.612,731.00,5.40,
7.0380,724.780,730.00,5.40,
7.0535,723.893,730.00,5.40,
7.1298,722.944,728.00,5.40,
7.1855,721.929,728.00,5.40,
7.2299,720.840,727.00,5.30,
7.2514,719.672,727.00,5.30,
7.3359,718.421,725.00,5.30,
7.3541,717.080,725.00,5.30,
7.4299,715.647,724.00,5.30,
7.4854,714.118,724.00,5.30,
7.5278,712.489,721.00,5.30,
7.5854,710.760,721.00,5.30,
7.6337,708.927,719.00,5.30,
7.6546,706.992,719.00,5.30,
7.7318,704.953,716.00,5.20,
7.7553,702.813,716.00,5.20,
7.8299,700.574,714.00,5.20,
7.8507,698.237,714.00,5.20,
7.9358,695.808,710.00,5.10,
7.9541,693.290,710.00,5.10,
8.0320,690.690,706.00,5.10,
8.0551,688.014,706.00,5.10,
8.1299,685.269,702.00,5.00,
8.1856,682.464,702.00,5.00,
8.2380,679.608,697.00,5.00,
8.2537,676.709,697.00,5.00,
8.3279,673.779,693.00,5.00,
8.3855,670.829,693.00,5.00,
8.4278,667.869,688.00,4.90,
8.4854,664.912,688.00,4.90,
8.5379,661.971,683.00,4.90,
8.5535,659.058,683.00,4.90,
8.6298,656.185,678.00,4.90,
8.6854,653.367,678.00,4.90,
8.7279,650.615,672.00,4.80,
8.7506,647.944,672.00,4.80,
8.8398,645.366,666.00,4.80,
8.8522,642.894,666.00,4.80,
8.9279,640.540,660.00,4.80,
8.9856,638.316,660.00,4.80,
9.0274,636.234,654.00,4.80,
9.0525,634.260,654.00,4.80,
9.1360,632.357,649.00,4.80,
9.1531,630.531,649.00,4.80,
9.2301,628.787,644.00,4.80,
9.2513,627.130,644.00,4.80,
9.3339,625.565,639.00,4.80,
9.3546,624.097,639.00,4.80,
9.4360,622.730,634.00,4.80,
9.4541,621.468,634.00,4.80,
9.5300,620.314,631.00,4.80,
9.5855,619.272,631.00,4.80,
9.6299,618.344,627.00,4.80,
9.6854,617.534,627.00,4.80,
9.7358,616.842,624.00,4.80,
9.7540,616.272,624.00,4.80,
9.8320,615.823,622.00,4.80,
9.8550,615.497,622.00,4.80,
9.9279,615.295,620.00,4.80,
9.9856,615.217,620.00,4.80,
10.0375,615.261,618.00,4.80,
10.0527,615.428,618.00,4.80,
10.1300,615.717,617.00,4.90,
10.1537,616.125,617.00,4.90,
10.2280,616.651,616.00,4.90,
10.2524,617.292,616.00,4.90,
10.3380,618.046,615.00,4.90,
10.3532,618.909,615.00,4.90,
10.4299,619.879,616.00,4.90,
10.4521,620.950,616.00,4.90,
10.5300,622.119,616.00,5.00,
10.5508,623.382,616.00,5.00,
10.6379,624.733,618.00,5.00,
10.6534,626.167,618.00,5.00,
10.7299,627.679,619.00,5.00,
10.7855,629.262,619.00,5.00,
10.8300,630.912,621.00,5.10,
10.8856,632.621,621.00,5.10,
10.9360,634.383,623.00,5.10,
10.9540,636.192,623.00,5.10,
11.0301,638.040,626.00,5.10,
11.0553,639.921,626.00,5.10,
11.1321,641.827,629.00,5.20,
11.1548,643.752,629.00,5.20,
11.2361,645.688,632.00,5.20,
11.2506,647.627,632.00,5.20,
11.3300,649.563,636.00,5.20,
11.3509,651.487,636.00,5.20,
11.4301,653.393,640.00,5.30,
11.4858,655.274,640.00,5.30,
11.5361,657.121,644.00,5.30,
11.5540,658.929,644.00,5.30,
11.6300,660.689,647.00,5.30,
11.6856,662.396,647.00,5.30,
11.7279,664.042,651.00,5.30,
11.7855,665.621,651.00,5.30,
11.8380,667.127,655.00,5.30,
11.8534,668.554,655.00,5.30,
11.9301,669.896,658.00,5.30,
11.9858,671.148,658.00,5.30,
12.0262,672.304,661.00,5.40,
12.0857,673.361,661.00,5.40,
12.1380,674.314,665.00,5.30,
12.1535,675.158,665.00,5.30,
12.2300,675.890,668.00,5.30,
12.2857,676.508,668.00,5.30,
12.3281,677.007,670.00,5.30,
12.3536,677.387,670.00,5.30,
12.4401,677.644,672.00,5.30,
12.4528,677.779,672.00,5.30,
12.5280,677.789,674.00,5.30,
12.5857,677.675,674.00,5.30,
12.6301,677.436,676.00,5.30,
12.6858,677.073,676.00,5.30,
12.7359,676.588,677.00,5.20,
12.7540,675.981,677.00,5.20,
12.8300,675.256,677.00,5.20,
12.8856,674.413,677.00,5.20,
12.9321,673.458,677.00,5.20,
12.9519,672.392,677.00,5.20,
13.0362,671.221,677.00,5.10,
13.0540,669.949,677.00,5.10,
13.1282,668.580,676.00,5.10,
13.1857,667.121,676.00,5.10,
13.2302,665.577,674.00,5.10,
13.2529,663.955,674.00,5.10,
13.3361,662.261,672.00,5.00,
13.3540,660.503,672.00,5.00,
13.4341,658.688,670.00,5.00,
13.4545,656.825,670.00,5.00,
13.5261,654.921,667.00,5.00,
13.5523,652.984,667.00,5.00,
13.6361,651.025,663.00,4.90,
13.6541,649.052,663.00,4.90,
13.7322,647.074,660.00,4.90,
13.7516,645.102,660.00,4.90,
13.8260,643.144,656.00,4.90,
13.8856,641.211,656.00,4.90,
13.9402,639.313,652.00,4.90,
13.9509,637.460,652.00,4.90,
14.0302,635.662,649.00,4.90,
14.0860,633.930,649.00,4.90,
14.1262,632.273,646.00,4.90,
