t_s,cmd_hz,meas_hz,meas_a
0.0001,600.000,549.70,304.30
0.0584,800.000,555.10,306.60
0.1098,800.000,558.70,309.50
0.1586,800.000,567.70,313.80
0.2016,800.000,567.00,314.10
0.2584,800.000,575.90,319.30
0.3084,800.000,581.70,321.60
0.3561,800.000,590.60,327.20
0.4016,800.000,594.30,329.40
0.4585,800.000,604.60,335.00
0.5035,800.000,611.70,338.20
0.5535,800.000,617.80,341.40
0.6047,800.000,631.50,349.60
0.6601,800.000,640.10,353.70
0.7074,800.000,651.70,360.10
0.7537,800.000,652.20,360.80
0.8100,800.000,668.90,370.00
0.8600,800.000,681.10,376.40
0.9031,800.000,691.40,382.50
0.9600,800.000,699.90,387.20
1.0100,800.000,706.00,389.90
