# blade,v2_Ra20
# notes,"material, layer height, finish"
# fan_rpm,1800
# wind_mps,37.95
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,98d91e3a89f2
# protocol_detail,step=0.01000;frac=0.0000;dwell=1.50;voff=0.500;range=low;floor=0.00500;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note
1800.0,37.95,v2_Ra20,0.0050,0.0050,21.9903,0.0050,0.1100,1,
1800.0,37.95,v2_Ra20,0.0100,0.0100,23.2444,0.0100,0.2324,1,
1800.0,37.95,v2_Ra20,0.0200,0.0200,22.7241,0.0200,0.4545,1,
1800.0,37.95,v2_Ra20,0.0300,0.0300,22.5741,0.0300,0.6772,1,
1800.0,37.95,v2_Ra20,0.0400,0.0400,22.1487,0.0400,0.8859,1,
1800.0,37.95,v2_Ra20,0.0500,0.0500,21.5967,0.0500,1.0798,1,
1800.0,37.95,v2_Ra20,0.0600,0.0600,21.5984,0.0600,1.2959,1,
1800.0,37.95,v2_Ra20,0.0700,0.0700,20.5966,0.0700,1.4418,1,
1800.0,37.95,v2_Ra20,0.0800,0.0800,20.1866,0.0800,1.6149,1,
1800.0,37.95,v2_Ra20,0.0900,0.0900,20.0522,0.0900,1.8047,1,
1800.0,37.95,v2_Ra20,0.1000,0.1000,19.4333,0.1000,1.9433,1,
1800.0,37.95,v2_Ra20,0.1100,0.1100,19.4699,0.1100,2.1417,1,
1800.0,37.95,v2_Ra20,0.1200,0.1200,18.8465,0.1200,2.2616,1,
1800.0,37.95,v2_Ra20,0.1300,0.1300,18.4020,0.1300,2.3923,1,
1800.0,37.95,v2_Ra20,0.1400,0.1400,17.9733,0.1400,2.5163,1,
1800.0,37.95,v2_Ra20,0.1500,0.1500,17.5942,0.1500,2.6391,1,
1800.0,37.95,v2_Ra20,0.1600,0.1600,17.2025,0.1600,2.7524,1,
1800.0,37.95,v2_Ra20,0.1700,0.1700,16.8553,0.1700,2.8654,1,
1800.0,37.95,v2_Ra20,0.1800,0.1800,16.3975,0.1800,2.9516,1,
1800.0,37.95,v2_Ra20,0.1900,0.1900,16.2416,0.1900,3.0859,1,
1800.0,37.95,v2_Ra20,0.2000,0.2000,15.9524,0.2000,3.1905,1,
1800.0,37.95,v2_Ra20,0.2100,0.2100,15.1139,0.2100,3.1739,1,
1800.0,37.95,v2_Ra20,0.2200,0.2200,14.8941,0.2200,3.2767,1,
1800.0,37.95,v2_Ra20,0.2300,0.2300,14.8345,0.2300,3.4119,1,
1800.0,37.95,v2_Ra20,0.2400,0.2400,14.2798,0.2400,3.4272,1,
1800.0,37.95,v2_Ra20,0.2500,0.2500,14.0459,0.2500,3.5115,1,
1800.0,37.95,v2_Ra20,0.2600,0.2600,13.7162,0.2600,3.5662,1,
1800.0,37.95,v2_Ra20,0.2700,0.2700,13.0012,0.2700,3.5103,1,
1800.0,37.95,v2_Ra20,0.2800,0.2800,13.0483,0.2800,3.6535,1,
1800.0,37.95,v2_Ra20,0.2900,0.2900,12.2238,0.2900,3.5449,1,
1800.0,37.95,v2_Ra20,0.3000,0.3000,12.1355,0.3000,3.6406,1,
1800.0,37.95,v2_Ra20,0.3100,0.3100,11.8203,0.3100,3.6643,1,
1800.0,37.95,v2_Ra20,0.3200,0.3200,11.5803,0.3200,3.7057,1,
1800.0,37.95,v2_Ra20,0.3300,0.3300,11.1536,0.3300,3.6807,1,
1800.0,37.95,v2_Ra20,0.3400,0.3400,10.5652,0.3400,3.5922,1,
1800.0,37.95,v2_Ra20,0.3500,0.3500,10.8584,0.3500,3.8004,1,
1800.0,37.95,v2_Ra20,0.3600,0.3600,10.5215,0.3600,3.7877,1,
1800.0,37.95,v2_Ra20,0.3700,0.3700,9.8381,0.3700,3.6401,1,
1800.0,37.95,v2_Ra20,0.3800,0.3800,9.2908,0.3800,3.5305,1,
1800.0,37.95,v2_Ra20,0.3900,0.3900,9.1496,0.3900,3.5683,1,
1800.0,37.95,v2_Ra20,0.4000,0.4000,8.8284,0.4000,3.5314,1,
1800.0,37.95,v2_Ra20,0.4100,0.4100,8.2965,0.4100,3.4016,1,
1800.0,37.95,v2_Ra20,0.4200,0.4200,8.1122,0.4200,3.4071,1,
1800.0,37.95,v2_Ra20,0.4300,0.4300,7.6596,0.4300,3.2936,1,
1800.0,37.95,v2_Ra20,0.4400,0.4400,7.6960,0.4400,3.3862,1,
1800.0,37.95,v2_Ra20,0.4500,0.4500,7.3745,0.4500,3.3185,1,
1800.0,37.95,v2_Ra20,0.4600,0.4600,6.9302,0.4600,3.1879,1,
1800.0,37.95,v2_Ra20,0.4700,0.4700,6.8483,0.4700,3.2187,1,
1800.0,37.95,v2_Ra20,0.4800,0.4800,6.3158,0.4800,3.0316,1,
1800.0,37.95,v2_Ra20,0.4900,0.4900,5.9365,0.4900,2.9089,1,
1800.0,37.95,v2_Ra20,0.5000,0.5000,5.8506,0.5000,2.9253,1,
1800.0,37.95,v2_Ra20,0.5100,0.5100,5.5765,0.5100,2.8440,1,
1800.0,37.95,v2_Ra20,0.5200,0.5200,5.1514,0.5200,2.6787,1,
1800.0,37.95,v2_Ra20,0.5300,0.5300,4.7549,0.5300,2.5201,1,
1800.0,37.95,v2_Ra20,0.5400,0.5400,4.4449,0.5400,2.4002,1,
1800.0,37.95,v2_Ra20,0.5500,0.5500,4.4452,0.5500,2.4449,1,
1800.0,37.95,v2_Ra20,0.5600,0.5600,4.0913,0.5600,2.2911,1,
1800.0,37.95,v2_Ra20,0.5700,0.5700,3.7855,0.5700,2.1577,1,
1800.0,37.95,v2_Ra20,0.5800,0.5800,3.4798,0.5800,2.0183,1,
1800.0,37.95,v2_Ra20,0.5900,0.5900,3.2596,0.5900,1.9232,1,
1800.0,37.95,v2_Ra20,0.6000,0.6000,2.8822,0.6000,1.7293,1,
1800.0,37.95,v2_Ra20,0.6100,0.6100,2.5830,0.6100,1.5756,1,
1800.0,37.95,v2_Ra20,0.6200,0.6200,2.3500,0.6200,1.4570,1,
1800.0,37.95,v2_Ra20,0.6300,0.6300,1.8505,0.6300,1.1658,1,
1800.0,37.95,v2_Ra20,0.6400,0.6400,1.6075,0.6400,1.0288,1,
1800.0,37.95,v2_Ra20,0.6500,0.6500,1.2857,0.6500,0.8357,1,
1800.0,37.95,v2_Ra20,0.6600,0.6600,0.5988,0.6600,0.3952,1,
1800.0,37.95,v2_Ra20,0.6700,0.6700,0.6437,0.6700,0.4313,1,
1800.0,37.95,v2_Ra20,0.6800,0.6800,0.3465,0.6800,0.2356,1,under v_floor
