fan_rpm,demand_a,held_a,volts,amps,watts,tracking,note
500.0,0.0050,0.0050,2.5482,0.0050,0.0127,1,
500.0,0.0060,0.0060,2.6642,0.0060,0.0160,1,
500.0,0.0070,0.0070,2.5207,0.0070,0.0176,1,
500.0,0.0080,0.0080,2.3820,0.0080,0.0191,1,
500.0,0.0090,0.0090,2.3748,0.0090,0.0214,1,
500.0,0.0100,0.0100,2.3010,0.0100,0.0230,1,
500.0,0.0110,0.0110,2.2523,0.0110,0.0248,1,
500.0,0.0120,0.0120,2.0298,0.0120,0.0244,1,
500.0,0.0130,0.0130,1.9983,0.0130,0.0260,1,
500.0,0.0140,0.0140,1.9083,0.0140,0.0267,1,
500.0,0.0150,0.0150,1.8972,0.0150,0.0285,1,
500.0,0.0160,0.0160,1.6915,0.0160,0.0271,1,
500.0,0.0170,0.0170,1.6457,0.0170,0.0280,1,
500.0,0.0180,0.0180,1.5452,0.0180,0.0278,1,
500.0,0.0190,0.0190,1.4165,0.0190,0.0269,1,
500.0,0.0200,0.0200,1.2620,0.0200,0.0252,1,
500.0,0.0210,0.0210,1.2043,0.0210,0.0253,1,
500.0,0.0221,0.0221,0.8764,0.0221,0.0194,1,
500.0,0.0232,0.0232,0.9212,0.0232,0.0214,1,
500.0,0.0243,0.0243,0.8175,0.0243,0.0199,1,
500.0,0.0255,0.0255,0.7990,0.0255,0.0204,1,
500.0,0.0268,0.0268,0.5124,0.0268,0.0137,1,
500.0,0.0281,0.0281,0.3410,0.0281,0.0096,1,under v_floor
500.0,0.0295,0.0295,0.3314,0.0295,0.0098,1,under v_floor
500.0,0.0214,0.0214,1.2103,0.0214,0.0259,1,operating point
