# blade,v1_Ra80
# notes,"PETG, 0.2mm layer, 0.2mm nozzle, Ra 80"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
# clock,2026-08-26T15:32:09-0400
# clock_unix,1787772729.932
# _clock_note,host wall clock at run start. Every row carries t_unix so a DAQ record can be joined to it — check the two machines agree to better than a dwell before trusting the join.
t_unix,t_local,fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
1787772250.922,2026-08-26T15:24:10,500,10.24,v1_Ra80,0.0010,0.0010,2.9376,0.0010,0.0029,1,,500,4.50
1787772251.977,2026-08-26T15:24:11,500,10.24,v1_Ra80,0.0020,0.0020,3.0844,0.0020,0.0062,1,,500,4.50
1787772253.031,2026-08-26T15:24:13,500,10.24,v1_Ra80,0.0040,0.0040,3.0504,0.0040,0.0122,1,,500,4.50
1787772254.094,2026-08-26T15:24:14,500,10.24,v1_Ra80,0.0060,0.0060,2.8796,0.0060,0.0173,1,,500,4.50
1787772255.148,2026-08-26T15:24:15,500,10.24,v1_Ra80,0.0080,0.0080,2.7510,0.0080,0.0220,1,,500,4.50
1787772256.203,2026-08-26T15:24:16,500,10.24,v1_Ra80,0.0100,0.0100,2.5429,0.0100,0.0254,1,,500,4.50
1787772257.257,2026-08-26T15:24:17,500,10.24,v1_Ra80,0.0120,0.0120,2.1708,0.0120,0.0260,1,,500,4.50
1787772258.311,2026-08-26T15:24:18,500,10.24,v1_Ra80,0.0140,0.0140,2.1860,0.0140,0.0306,1,,500,4.50
1787772259.366,2026-08-26T15:24:19,500,10.24,v1_Ra80,0.0160,0.0160,1.9142,0.0160,0.0306,1,,500,4.50
1787772260.420,2026-08-26T15:24:20,500,10.24,v1_Ra80,0.0180,0.0180,1.8325,0.0180,0.0330,1,,500,4.50
1787772261.494,2026-08-26T15:24:21,500,10.24,v1_Ra80,0.0200,0.0200,1.5092,0.0200,0.0302,1,,500,4.50
1787772262.549,2026-08-26T15:24:22,500,10.24,v1_Ra80,0.0220,0.0220,1.4217,0.0220,0.0313,1,,500,4.50
1787772263.603,2026-08-26T15:24:23,500,10.24,v1_Ra80,0.0240,0.0240,1.2607,0.0240,0.0303,1,,500,4.50
1787772264.658,2026-08-26T15:24:24,500,10.24,v1_Ra80,0.0260,0.0260,0.9730,0.0260,0.0253,1,,500,4.50
1787772265.713,2026-08-26T15:24:25,500,10.24,v1_Ra80,0.0280,0.0280,0.6392,0.0280,0.0179,1,,500,4.50
