# blade,v2_Ra20
# notes,"PETG, 0.2mm, Ra 20"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
500,10.24,v2_Ra20,0.0010,0.0010,2.8477,0.0010,0.0028,1,,496,4.60
500,10.24,v2_Ra20,0.0020,0.0020,2.9700,0.0020,0.0059,1,,496,4.60
500,10.24,v2_Ra20,0.0040,0.0040,2.8588,0.0040,0.0114,1,,496,4.60
500,10.24,v2_Ra20,0.0060,0.0060,2.7575,0.0060,0.0165,1,,496,4.60
500,10.24,v2_Ra20,0.0080,0.0080,2.5109,0.0080,0.0201,1,,496,4.60
500,10.24,v2_Ra20,0.0100,0.0100,2.3777,0.0100,0.0238,1,,496,4.60
500,10.24,v2_Ra20,0.0120,0.0120,2.2037,0.0120,0.0264,1,,496,4.60
500,10.24,v2_Ra20,0.0140,0.0140,1.9674,0.0140,0.0275,1,,496,4.60
500,10.24,v2_Ra20,0.0160,0.0160,1.8147,0.0160,0.0290,1,,496,4.60
500,10.24,v2_Ra20,0.0180,0.0180,1.6473,0.0180,0.0297,1,,496,4.60
500,10.24,v2_Ra20,0.0200,0.0200,1.4025,0.0200,0.0281,1,,496,4.60
500,10.24,v2_Ra20,0.0220,0.0220,1.1288,0.0220,0.0248,1,,496,4.60
500,10.24,v2_Ra20,0.0240,0.0240,1.1415,0.0240,0.0274,1,,496,4.60
500,10.24,v2_Ra20,0.0260,0.0260,0.8278,0.0260,0.0215,1,,496,4.60
500,10.24,v2_Ra20,0.0280,0.0280,0.6165,0.0280,0.0173,1,,496,4.60
600,12.37,v2_Ra20,0.0011,0.0011,4.4662,0.0011,0.0049,1,,593,4.80
600,12.37,v2_Ra20,0.0021,0.0021,4.3171,0.0021,0.0091,1,,593,4.80
600,12.37,v2_Ra20,0.0042,0.0042,4.1203,0.0042,0.0173,1,,593,4.80
600,12.37,v2_Ra20,0.0064,0.0064,4.0277,0.0064,0.0258,1,,593,4.80
600,12.37,v2_Ra20,0.0085,0.0085,3.8507,0.0085,0.0327,1,,593,4.80
600,12.37,v2_Ra20,0.0106,0.0106,3.6938,0.0106,0.0392,1,,593,4.80
